,Zip Code,Date,Population,State Bottle Cost,State Bottle Retail,Volume Sold (Liters)
0,50003,2013-08-27,7118.0,27.0,40.5,0.75
1,50009,2012-02-02,19559.0,21.21,31.81,0.8
2,50009,2012-07-12,19559.0,10.14,15.58,2.25
3,50009,2013-03-07,19559.0,9.97,14.96,9.0
4,50009,2013-12-30,19559.0,6.83,10.24,0.5
5,50009,2014-03-18,19559.0,6.77,10.15,1.5
6,50009,2014-04-30,19559.0,13.12,19.68,0.75
7,50009,2014-05-21,19559.0,13.51,21.01,10.5
8,50009,2014-05-28,19559.0,3.67,5.51,9.0
9,50009,2014-06-04,19559.0,8.99,13.49,0.75
10,50009,2014-10-01,19559.0,7.13,10.7,0.75
11,50010,2012-01-19,33965.0,6.3,9.45,9.0
12,50010,2012-01-26,33965.0,17.97,26.96,9.0
13,50010,2012-09-13,33965.0,2.85,4.28,1.2
14,50010,2012-12-13,33965.0,31.5,47.24,1.5
15,50010,2013-03-25,33965.0,9.23,13.85,105.0
16,50010,2013-05-20,33965.0,6.5,9.74,0.75
17,50010,2013-06-13,33965.0,7.13,10.7,10.5
18,50010,2014-01-15,33965.0,3.75,5.63,9.0
19,50010,2014-03-12,33965.0,12.99,19.49,10.5
20,50010,2014-04-23,33965.0,9.43,14.14,12.0
21,50010,2014-07-16,33965.0,10.0,14.99,9.0
22,50010,2014-12-03,33965.0,3.0,4.5,1.5
23,50010,2015-03-18,33965.0,7.6,11.4,10.5
24,50010,2015-05-27,33965.0,10.99,16.49,1.5
25,50010,2015-06-03,33965.0,3.5,5.25,1.12
26,50010,2015-07-14,33965.0,18.0,27.0,10.5
27,50010,2015-09-16,33965.0,19.0,28.5,9.0
28,50010,2015-09-28,33965.0,13.5,20.25,9.0
29,50010,2015-11-23,33965.0,7.08,10.62,10.5
30,50014,2012-02-20,30231.0,8.4,12.59,1.5
31,50014,2014-02-19,30231.0,10.24,15.35,3.0
32,50021,2012-02-22,27406.0,6.3,9.45,3.0
33,50021,2012-08-09,27406.0,13.54,20.31,0.75
34,50021,2014-01-22,27406.0,3.34,5.01,9.0
35,50021,2014-03-19,27406.0,5.94,9.91,9.0
36,50021,2014-08-20,27406.0,18.5,27.75,12.0
37,50021,2015-03-31,27406.0,6.5,9.75,9.0
38,50021,2015-07-22,27406.0,3.42,5.13,9.0
39,50021,2015-08-11,27406.0,1.56,2.34,9.6
40,50021,2015-09-08,27406.0,5.0,7.5,1.5
41,50022,2012-01-31,8282.0,2.84,4.25,0.75
42,50022,2012-05-08,8282.0,11.82,17.74,4.0
43,50022,2012-12-18,8282.0,7.13,10.7,10.5
44,50022,2013-09-23,8282.0,15.63,23.44,1.2
45,50022,2015-02-02,8282.0,13.25,19.88,18.0
46,50022,2015-06-26,8282.0,10.0,15.0,3.0
47,50023,2012-06-26,36456.0,3.7,5.55,9.0
48,50023,2013-10-21,36456.0,25.25,38.99,3.0
49,50023,2014-06-26,36456.0,4.0,6.0,9.0
50,50023,2014-08-07,36456.0,28.69,43.04,3.5
51,50023,2015-01-20,36456.0,7.8,11.7,1.5
52,50023,2015-03-31,36456.0,9.24,13.86,10.5
53,50025,2012-08-14,3107.0,6.87,10.81,0.75
54,50035,2014-12-29,7660.0,11.0,16.5,0.75
55,50036,2014-09-03,16455.0,9.42,14.13,9.0
56,50036,2014-09-17,16455.0,10.45,15.68,21.0
57,50036,2015-01-14,16455.0,7.17,10.76,21.0
58,50049,2012-05-21,6292.0,11.01,16.52,3.5
59,50049,2013-11-21,6292.0,6.5,9.74,2.25
60,50049,2015-03-11,6292.0,7.0,10.5,9.0
61,50054,2013-11-05,2909.0,3.5,5.25,1.5
62,50056,2015-11-16,1435.0,4.67,7.01,3.0
63,50058,2012-04-24,1909.0,16.43,24.64,12.0
64,50109,2013-02-28,3058.0,10.49,15.73,4.5
65,50111,2012-02-16,13764.0,21.67,32.5,0.75
66,50111,2012-12-17,13764.0,10.98,16.48,10.5
67,50111,2013-02-25,13764.0,15.42,23.13,10.5
68,50111,2014-02-18,13764.0,3.05,4.57,1.5
69,50111,2014-09-23,13764.0,25.66,38.49,11.0
70,50111,2015-04-14,13764.0,4.8,7.2,0.75
71,50111,2015-05-12,13764.0,20.05,30.08,1.75
72,50111,2015-06-09,13764.0,11.99,17.99,10.5
73,50111,2015-08-18,13764.0,32.49,48.74,1.5
74,50112,2012-06-21,11779.0,10.56,15.84,6.0
75,50112,2012-07-19,11779.0,7.61,11.42,0.38
76,50112,2012-11-20,11779.0,18.08,27.13,22.5
77,50112,2013-09-04,11779.0,4.7,7.05,1.6
78,50112,2015-09-17,11779.0,11.18,16.77,10.5
79,50115,2015-05-21,2723.0,12.99,19.49,10.5
80,50125,2012-01-26,20354.0,3.25,4.88,9.0
81,50125,2012-11-13,20354.0,15.53,23.3,2.0
82,50125,2013-06-15,20354.0,4.65,6.98,2.0
83,50125,2014-03-13,20354.0,7.0,10.49,0.75
84,50125,2014-07-10,20354.0,10.5,15.75,1.75
85,50125,2014-09-29,20354.0,18.5,27.75,2.0
86,50125,2015-02-09,20354.0,8.5,12.75,45.0
87,50126,2012-11-16,6754.0,13.31,19.97,5.25
88,50126,2014-10-13,6754.0,5.48,8.22,9.0
89,50126,2015-01-05,6754.0,10.45,15.68,63.0
90,50129,2012-07-12,4906.0,4.53,6.8,2.25
91,50129,2012-08-20,4906.0,3.36,5.03,0.75
92,50129,2014-08-28,4906.0,9.65,14.48,4.5
93,50129,2015-05-28,4906.0,3.37,5.06,9.0
94,50130,2013-03-26,1592.0,6.5,9.74,3.0
95,50131,2014-11-17,20920.0,9.06,13.59,0.5
96,50131,2015-01-08,20920.0,11.96,17.94,10.5
97,50131,2015-02-26,20920.0,3.0,4.5,1.12
98,50131,2015-08-27,20920.0,6.9,10.35,9.0
99,50138,2012-12-12,11741.0,10.0,14.99,0.75
100,50138,2014-05-28,11741.0,25.659999999999997,38.5,11.5
101,50142,2015-07-07,933.0,26.24,39.36,0.75
102,50156,2015-08-20,4865.0,9.14,13.71,10.5
103,50158,2012-05-24,30902.0,7.46,11.19,10.5
104,50158,2012-07-12,30902.0,6.55,9.83,9.0
105,50158,2012-08-30,30902.0,8.4,12.59,9.0
106,50158,2012-10-12,30902.0,7.96,11.94,9.0
107,50158,2012-12-27,30902.0,18.44,27.66,2.25
108,50158,2013-02-14,30902.0,17.0,25.74,10.5
109,50158,2013-05-02,30902.0,14.5,21.75,4.5
110,50158,2014-01-28,30902.0,3.4,5.1,9.0
111,50158,2014-07-08,30902.0,7.62,11.43,12.0
112,50158,2014-12-16,30902.0,15.75,23.63,21.0
113,50158,2015-04-28,30902.0,11.78,17.67,12.0
114,50158,2015-06-09,30902.0,16.0,24.4,9.0
115,50171,2013-09-10,2581.0,5.47,8.21,9.0
116,50171,2015-11-02,2581.0,11.0,16.5,2.25
117,50201,2013-07-01,8303.0,10.0,15.0,3.75
118,50208,2012-07-12,20693.0,27.17,40.75,21.0
119,50208,2012-11-29,20693.0,13.54,20.31,3.0
120,50208,2013-02-21,20693.0,6.75,10.13,0.75
121,50208,2014-02-10,20693.0,22.07,33.11,2.25
122,50208,2014-08-27,20693.0,8.5,12.75,0.75
123,50208,2015-05-18,20693.0,7.17,10.76,10.5
124,50208,2015-09-10,20693.0,8.25,12.38,0.75
125,50211,2014-04-24,12816.0,5.38,8.06,9.0
126,50211,2015-07-16,12816.0,18.09,27.14,4.5
127,50213,2012-03-19,6850.0,7.53,11.3,9.0
128,50213,2013-11-14,6850.0,18.09,27.14,4.5
129,50213,2015-03-19,6850.0,15.25,22.88,1.0
130,50219,2013-07-24,13568.0,29.53,44.3,1.2
131,50219,2014-12-17,13568.0,6.0,9.25,10.5
132,50219,2015-04-01,13568.0,6.81,10.22,4.0
133,50219,2015-07-29,13568.0,10.49,15.74,9.0
134,50219,2015-11-18,13568.0,10.49,15.74,21.0
135,50220,2014-01-23,8962.0,7.58,11.37,10.5
136,50225,2012-09-26,2797.0,6.97,10.95,0.75
137,50225,2013-03-20,2797.0,10.42,15.63,1.5
138,50244,2015-10-14,1887.0,5.23,7.85,9.0
139,50248,2012-02-27,4321.0,11.55,17.32,10.5
140,50248,2012-05-07,4321.0,8.42,13.41,9.0
141,50248,2015-08-11,4321.0,2.05,3.08,1.5
142,50250,2012-09-04,2340.0,4.3,6.45,1.5
143,50250,2012-12-04,2340.0,10.9,16.35,5.25
144,50250,2013-01-08,2340.0,11.0,16.49,2.25
145,50263,2012-01-12,23858.0,6.83,10.24,0.5
146,50263,2012-06-07,23858.0,3.25,4.88,9.0
147,50263,2013-10-08,23858.0,14.75,22.12,10.5
148,50265,2012-03-21,32135.0,7.01,10.52,0.75
149,50265,2012-04-18,32135.0,6.53,9.79,1.12
150,50265,2012-06-27,32135.0,2.05,3.07,0.8
151,50265,2012-08-02,32135.0,5.23,7.84,9.0
152,50265,2012-11-15,32135.0,6.9,10.35,2.25
153,50265,2013-01-30,32135.0,7.87,11.81,4.5
154,50265,2013-03-21,32135.0,14.28,21.43,10.5
155,50265,2013-07-15,32135.0,20.25,30.37,3.5
156,50265,2013-12-20,32135.0,11.17,16.76,3.0
157,50265,2014-06-23,32135.0,8.87,13.31,0.5
158,50265,2014-07-07,32135.0,8.2,12.3,10.5
159,50265,2014-07-28,32135.0,8.25,12.37,9.0
160,50265,2014-08-18,32135.0,4.8,7.2,0.75
161,50265,2014-10-06,32135.0,14.0,21.0,9.0
162,50265,2014-12-08,32135.0,15.0,22.5,27.0
163,50265,2015-01-12,32135.0,4.5,6.75,2.25
164,50265,2015-11-09,32135.0,3.71,5.57,9.0
165,50265,2015-11-16,32135.0,19.21,28.82,15.0
166,50266,2012-03-14,28917.0,10.99,17.24,1.5
167,50266,2012-12-28,28917.0,7.33,11.49,9.0
168,50266,2013-05-14,28917.0,3.75,5.62,0.6
169,50266,2013-05-30,28917.0,12.07,18.1,1.5
170,50266,2013-10-15,28917.0,7.95,11.93,9.0
171,50266,2013-10-21,28917.0,9.45,14.67,10.5
172,50266,2014-08-26,28917.0,9.44,14.16,105.0
173,50266,2014-12-02,28917.0,16.17,24.26,4.5
174,50266,2015-04-07,28917.0,7.17,10.76,21.0
175,50266,2015-09-01,28917.0,12.5,18.75,4.5
176,50273,2014-02-25,8339.0,29.72,44.58,3.0
177,50273,2015-05-19,8339.0,16.79,25.19,2.25
178,50309,2012-08-02,7008.0,1.12,1.68,19.2
179,50309,2015-07-09,7008.0,12.05,18.08,9.0
180,50310,2013-03-04,31877.0,9.43,14.14,12.0
181,50310,2013-08-01,31877.0,3.05,4.57,18.0
182,50310,2013-09-12,31877.0,7.86,11.79,3.0
183,50310,2013-11-23,31877.0,13.54,20.31,1.5
184,50310,2013-12-05,31877.0,8.92,13.38,10.5
185,50310,2014-09-04,31877.0,9.7,14.95,9.0
186,50310,2015-06-15,31877.0,6.0,9.25,10.5
187,50311,2012-10-31,15740.0,7.65,11.84,9.0
188,50311,2013-02-27,15740.0,8.66,12.99,45.0
189,50311,2013-09-24,15740.0,8.92,13.38,10.5
190,50311,2013-12-19,15740.0,19.17,28.76,4.5
191,50311,2014-02-11,15740.0,14.98,22.47,12.0
192,50311,2014-05-06,15740.0,6.92,10.38,10.5
193,50311,2014-07-02,15740.0,9.0,13.5,9.0
194,50311,2015-02-12,15740.0,7.84,11.76,10.5
195,50311,2015-04-21,15740.0,9.85,14.78,3.75
196,50312,2014-09-25,16173.0,8.75,13.13,18.0
197,50313,2014-02-11,19073.0,9.85,14.78,1.5
198,50313,2015-09-14,19073.0,7.47,11.21,1.5
199,50314,2012-04-09,11528.0,14.89,22.34,12.0
200,50314,2012-08-31,11528.0,7.5,11.25,36.0
201,50314,2012-11-01,11528.0,8.5,12.74,9.0
202,50314,2012-11-29,11528.0,3.4,5.09,9.0
203,50314,2013-01-03,11528.0,6.29,9.44,9.0
204,50314,2013-01-24,11528.0,4.74,7.11,0.5
205,50314,2013-08-29,11528.0,12.5,18.74,1.5
206,50314,2013-12-02,11528.0,13.12,19.68,4.5
207,50314,2014-01-16,11528.0,11.17,16.76,9.0
208,50314,2014-08-14,11528.0,20.63,30.95,6.0
209,50314,2014-12-04,11528.0,9.75,14.63,9.0
210,50314,2015-01-15,11528.0,10.0,15.0,1.5
211,50314,2015-02-26,11528.0,8.09,12.14,4.5
212,50314,2015-03-09,11528.0,10.0,15.0,4.5
213,50314,2015-11-18,11528.0,8.49,12.74,1.5
214,50314,2015-11-30,11528.0,42.99,64.49,10.5
215,50315,2012-04-19,35825.0,14.67,22.0,10.5
216,50315,2012-05-03,35825.0,5.77,8.66,18.0
217,50315,2012-07-16,35825.0,10.14,15.58,0.75
218,50315,2012-08-09,35825.0,3.25,4.88,9.0
219,50315,2012-08-16,35825.0,3.37,5.06,9.0
220,50315,2012-10-04,35825.0,11.5,17.25,0.5
221,50315,2014-01-16,35825.0,3.4,5.1,1.12
222,50315,2014-03-06,35825.0,20.94,31.41,4.5
223,50315,2014-03-13,35825.0,10.42,15.63,2.25
224,50315,2014-03-20,35825.0,6.5,9.74,9.0
225,50315,2014-06-02,35825.0,2.21,3.31,12.0
226,50315,2014-06-11,35825.0,8.75,13.12,9.0
227,50315,2014-08-12,35825.0,7.43,11.15,10.5
228,50315,2014-12-30,35825.0,8.25,12.38,0.75
229,50315,2015-11-16,35825.0,5.23,7.85,9.0
230,50316,2012-10-09,16774.0,7.31,10.97,5.25
231,50316,2012-12-27,16774.0,3.37,5.05,9.0
232,50316,2013-04-11,16774.0,2.21,3.32,12.0
233,50316,2013-07-25,16774.0,1.96,2.94,4.8
234,50316,2013-12-18,16774.0,3.39,5.09,9.0
235,50316,2013-12-31,16774.0,6.3,9.45,1.5
236,50316,2014-01-29,16774.0,1.1,1.65,4.8
237,50316,2014-04-30,16774.0,1.0,1.5,4.8
238,50316,2014-11-19,16774.0,10.49,15.74,4.5
239,50316,2015-04-22,16774.0,4.8,7.2,6.0
240,50317,2012-03-06,37976.0,6.9,10.35,9.0
241,50317,2012-05-24,37976.0,8.5,12.74,9.0
242,50317,2012-10-09,37976.0,8.84,13.51,2.25
243,50317,2012-11-07,37976.0,8.33,12.49,0.75
244,50317,2013-01-15,37976.0,7.21,11.19,9.0
245,50317,2013-03-21,37976.0,5.47,8.21,9.0
246,50317,2013-06-06,37976.0,3.99,5.99,6.0
247,50317,2013-11-13,37976.0,1.71,2.56,0.75
248,50317,2014-03-31,37976.0,5.37,8.05,2.25
249,50317,2014-11-10,37976.0,5.0,7.5,3.0
250,50317,2014-12-01,37976.0,6.25,9.5,9.0
251,50317,2015-01-26,37976.0,4.9,7.35,6.0
252,50317,2015-02-11,37976.0,3.0,4.5,0.8
253,50317,2015-06-26,37976.0,8.75,13.13,9.0
254,50317,2015-08-24,37976.0,11.0,16.5,10.5
255,50320,2012-03-29,22209.0,11.33,17.99,4.5
256,50320,2012-08-02,22209.0,4.65,6.97,9.0
257,50320,2012-09-20,22209.0,1.77,2.66,4.8
258,50320,2012-11-08,22209.0,11.26,16.9,10.5
259,50320,2013-06-18,22209.0,9.25,13.87,12.0
260,50320,2013-10-28,22209.0,23.58,35.36,9.0
261,50320,2014-05-01,22209.0,6.9,10.35,18.0
262,50320,2014-09-24,22209.0,12.54,18.81,9.0
263,50320,2014-10-30,22209.0,9.25,13.88,9.0
264,50320,2014-11-03,22209.0,15.5,23.25,12.0
265,50320,2015-02-05,22209.0,6.75,10.13,9.0
266,50320,2015-03-23,22209.0,6.3,9.45,9.0
267,50320,2015-08-13,22209.0,12.48,18.72,2.25
268,50320,2015-10-01,22209.0,7.11,10.67,12.0
269,50320,2015-10-29,22209.0,21.02,31.53,4.5
270,50320,2015-11-05,22209.0,18.99,28.49,9.0
271,50320,2015-11-12,22209.0,11.75,17.63,3.0
272,50321,2012-11-28,9134.0,7.21,11.19,1.5
273,50321,2014-08-21,9134.0,6.5,9.75,10.5
274,50321,2015-05-21,9134.0,6.0,9.0,3.0
275,50321,2015-08-27,9134.0,18.99,28.49,9.0
276,50322,2012-03-29,31177.0,1.76,2.63,4.5
277,50322,2012-11-08,31177.0,4.96,7.44,6.0
278,50322,2013-03-26,31177.0,20.99,31.49,4.5
279,50322,2013-06-17,31177.0,11.0,16.49,3.0
280,50322,2013-10-29,31177.0,7.75,11.87,9.0
281,50322,2014-01-30,31177.0,8.98,13.47,9.0
282,50322,2014-02-18,31177.0,6.05,9.08,0.75
283,50322,2014-04-17,31177.0,6.67,10.0,12.0
284,50322,2014-10-08,31177.0,18.0,27.0,10.5
285,50322,2015-01-13,31177.0,29.72,44.58,3.0
286,50322,2015-09-10,31177.0,13.42,20.130000000000003,33.0
287,50322,2015-10-08,31177.0,7.86,11.79,9.0
288,50325,2013-01-24,17007.0,3.5,5.24,2.25
289,50325,2013-03-27,17007.0,11.0,16.49,1.5
290,50325,2013-07-04,17007.0,6.83,10.24,0.5
291,50325,2013-07-10,17007.0,9.33,13.99,3.0
292,50325,2014-02-18,17007.0,1.8,2.69,9.0
293,50401,2012-07-09,29033.0,6.3,9.45,9.0
294,50401,2013-02-18,29033.0,8.2,12.3,10.5
295,50401,2013-04-22,29033.0,10.42,15.63,4.5
296,50401,2013-06-10,29033.0,4.7,7.06,0.5
297,50401,2013-06-24,29033.0,5.28,7.91,3.0
298,50401,2013-09-09,29033.0,10.48,15.98,10.5
299,50401,2014-06-16,29033.0,4.84,7.26,9.0
300,50401,2014-06-23,29033.0,5.5,8.25,12.0
301,50401,2014-08-28,29033.0,14.0,21.0,10.5
302,50401,2014-12-04,29033.0,26.75,40.13,3.5
303,50401,2014-12-23,29033.0,17.5,26.25,1.5
304,50401,2015-03-12,29033.0,7.75,11.63,2.25
305,50401,2015-07-23,29033.0,4.99,7.49,1.5
306,50401,2015-08-13,29033.0,9.65,14.48,9.0
307,50424,2015-09-02,1454.0,11.75,17.63,4.0
308,50428,2012-04-02,9339.0,12.34,18.52,2.0
309,50428,2012-04-30,9339.0,11.02,16.53,10.5
310,50428,2012-05-25,9339.0,24.73,37.1,0.75
311,50428,2013-05-20,9339.0,17.61,26.41,12.0
312,50428,2013-12-02,9339.0,3.37,5.06,9.0
313,50428,2014-05-05,9339.0,7.0,10.49,4.5
314,50428,2014-12-11,9339.0,28.69,43.04,3.5
315,50428,2015-11-12,9339.0,5.65,8.48,0.4
316,50436,2012-04-23,5845.0,3.97,5.95,12.0
317,50436,2013-08-21,5845.0,19.42,29.14,10.5
318,50436,2013-12-18,5845.0,2.05,3.07,9.0
319,50436,2014-02-12,5845.0,20.58,30.87,1.5
320,50436,2015-03-11,5845.0,14.53,21.8,9.0
321,50436,2015-03-18,5845.0,10.0,15.0,1.5
322,50438,2014-07-09,4109.0,14.75,22.13,9.0
323,50438,2015-06-17,4109.0,11.33,17.0,10.5
